,datetime,latitude,longitude,city,state,duration,shape,comments
68939,2010-07-04 23:00:00,48.4111111,-119.5263889,omak,wa,180,light,moving lights in the sky over the firwork celebration&#44 07/04/10.  ((NUFORC Note:  Overflight of ISS and Russian supply capsule.  PD))
68940,2010-07-04 23:00:00,39.7475,-122.1952778,orland,ca,3600,flash,Satellites that flash and then disappear and ones that change direction.
68941,2010-07-04 23:00:00,45.5236111,-122.675,portland,or,300,circle,Strange orange lights in the sky
68942,2010-07-04 23:00:00,42.0255556,-88.1783333,streamwood,il,10,light,Red Light&#44 no sound&#44 Moves from SW to NNE&#44  below low clouds&#44 10-15Sec then disappeared.
68943,2010-07-04 23:00:00,42.0255556,-88.1783333,streamwood,il,600,unknown,Group of 14 see three seperate UFO&#39S over Streamwood&#44 Ill
68944,2010-07-04 23:00:00,47.3475,-124.2919444,taholah,wa,300,fireball,I know what I saw.
68946,2010-07-04 23:03:00,44.9061111,-66.9905556,eastport,me,120,changing,Bright yellow object with halo&#44 flies NE&#44 changes direction E&#44 loses halo&#44 flies E until too small to see
68948,2010-07-04 23:08:00,34.0752778,-84.2941667,alpharetta,ga,120,cigar,Cigar shaped object shrouded  with amber flames/haze over North Atlanta on July 4th&#44 2010.
68949,2010-07-04 23:10:00,41.8038889,-73.5591667,wassaic,ny,60,circle,3 circular lights moving in night-sky
68950,2010-07-04 23:15:00,36.0525,-95.7905556,broken arrow,ok,180,fireball,possible ufo sighting
68951,2010-07-04 23:15:00,40.5794444,-75.3411111,hellertown,pa,120,teardrop,Orange tear drop object spotted in eastern pa July 4 2010&#44 11:15 pm.
68952,2010-07-04 23:17:00,42.8125,-86.0186111,zeeland,mi,90,fireball,Fireball with red pulsating aura moving north north east creating a slight to moderate wooshing sound
68953,2010-07-04 23:30:00,42.6011111,-76.1808333,cortland,ny,300,fireball,3 redish orange lights seen over central ny traveling south east direction
68954,2010-07-04 23:30:00,41.9583333,-70.6677778,plymouth,ma,300,unknown,Star like&#44 but strange movement (stop&#44 reverse&#44 triangle).
68955,2010-07-04 23:30:00,41.8238889,-71.4133333,providence,ri,60,unknown,A bright light in the sky croosing the sky of Providence pulling with it small and big clouds with out sound.
68956,2010-07-04 23:35:00,29.2363889,-89.9872222,grand isle,la,6,circle,The objects had a life of their own like they were in scihcronised
68957,2010-07-04 23:40:00,47.8211111,-122.3138889,lynnwood,wa,60,light,Amber light heading west over Lynnwood&#44 Washington.
68958,2010-07-04 23:55:00,45.6388889,-122.6602778,vancouver,wa,60,oval,Three light orange oval objects moving across the sky eastward just south of Vancouver
